id,date_scrap,heure,home,away,cote_1,cote_X,cote_2
2025-12-26_Carlisle_City_Newcastle_Blue_Star,2025-12-26,7:45pm,Carlisle City,Newcastle Blue Star,Carl,Draw,Newc
2025-12-26_Coventry_Sphinx_Rugby_Borough,2025-12-26,12:30pm,Coventry Sphinx,Rugby Borough,Cove,Draw,Rugb
2025-12-26_St_Neots_Town_Bedworth_United,2025-12-26,1:00pm,St Neots Town,Bedworth United,1.95,3.30,3.30
2025-12-26_Lichfield_City_Coleshill_Town,2025-12-26,3:00pm,Lichfield City,Coleshill Town,Lich,Draw,Cole
2025-12-26_Long_Eaton_United_Belper_Town,2025-12-26,3:00pm,Long Eaton United,Belper Town,Long,Draw,Belp
2025-12-26_Rugby_Town_Mickleover_Sports,2025-12-26,3:00pm,Rugby Town,Mickleover Sports,Rugb,Draw,Mick
2025-12-26_Boldmere_St._Michaels_Sutton_Coldfield_Town,2025-12-26,3:00pm,Boldmere St. Michaels,Sutton Coldfield Town,Bold,Draw,Sutt
2025-12-26_Basford_United_Carlton_Town,2025-12-26,3:00pm,Basford United,Carlton Town,Basf,Draw,Carl
2025-12-26_Loughborough_University_FC_Shepshed_Dynamo,2025-12-26,3:00pm,Loughborough University FC,Shepshed Dynamo,2.45,3.35,2.50
2025-12-26_AFC_Rushden_&_Diamonds_Wellingborough_Town,2025-12-26,3:00pm,AFC Rushden & Diamonds,Wellingborough Town,AFC ,Draw,Well
2025-12-26_Bourne_Town_Corby_Town,2025-12-26,3:00pm,Bourne Town,Corby Town,Bour,Draw,Corb
2025-12-26_Bradford_Park_Avenue_Pontefract_Collieries,2025-12-26,1:00pm,Bradford Park Avenue,Pontefract Collieries,1.70,3.75,3.95
2025-12-26_Silsden_AFC_Brighouse_Town,2025-12-26,1:00pm,Silsden AFC,Brighouse Town,Sils,Draw,Brig
2025-12-26_Redcar_Athletic_Dunston_UTS,2025-12-26,1:00pm,Redcar Athletic,Dunston UTS,Redc,Draw,Duns
2025-12-26_Lincoln_United_Grimsby_Borough,2025-12-26,1:00pm,Lincoln United,Grimsby Borough,Linc,Draw,Grim
2025-12-26_Ashington_AFC_Blyth_Spartans,2025-12-26,1:00pm,Ashington AFC,Blyth Spartans,Ashi,Draw,Blyt
2025-12-26_Garforth_Town_AFC_Emley,2025-12-26,1:00pm,Garforth Town,AFC Emley,Garf,Draw,AFC 
2025-12-26_Newton_Aycliffe_Bishop_Auckland,2025-12-26,1:00pm,Newton Aycliffe,Bishop Auckland,Newt,Draw,Bish
2025-12-26_North_Ferriby_Bridlington_Town,2025-12-26,3:00pm,North Ferriby,Bridlington Town,Nort,Draw,Brid
2025-12-26_Blyth_Town_Hallam,2025-12-26,3:00pm,Blyth Town,Hallam,Blyt,Draw,Hall
2025-12-26_Ossett_United_Matlock_Town,2025-12-26,3:00pm,Ossett United,Matlock Town,Osse,Draw,Matl
2025-12-26_Consett_Heaton_Stannington,2025-12-26,3:00pm,Consett,Heaton Stannington,Cons,Draw,Heat
2025-12-26_Kidsgrove_Athletic_Newcastle_Town,2025-12-26,1:00pm,Kidsgrove Athletic,Newcastle Town,Kids,Draw,Newc
2025-12-26_Vauxhall_Motors_Lower_Breck,2025-12-26,1:30pm,Vauxhall Motors,Lower Breck,Vaux,Draw,Lowe
2025-12-26_Stafford_Rangers_Chasetown,2025-12-26,3:00pm,Stafford Rangers,Chasetown,Staf,Draw,Chas
